## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.custom1,entity.custom2,entity.custom3,entity.custom4,entity.custom5,entity.custom6,entity.custom7,entity.custom8,entity.custom9,entity.custom10,...
4350,airpods,1,For better Quality,,400,,Mobile,10,,,,,,,,,,,
4351,tempered glass,2,To save your mobile screen,,300,,Mobile,20,,,,,,,,,,,
4352,Mobile Cover,3,To make mobile look cool,,500,,Mobile,20,,,,,,,,,,,
4353,Charger,4,coz everyone needs charger,,700,,Mobile,30,,,,,,,,,,,
4354,Screen Guard,5,if you think you can survive without Temper,,200,,Mobile,10,,,,,,,,,,,
4355,Headphones,6,Makes life better,,100,,Mobile,50,,,,,,,,,,,
4356,Mobile strand,7,Sometimes you need a this too,,800,,Mobile,30,,,,,,,,,,,
4357,I pad,8,If you are creative and innovative,,1000,,Mobile,22,,,,,,,,,,,
4358,sfa,9,vdfrhtjnryntyhbdf,,200,,Desktop,43,,,,,,,,,,,
4359,asfvg,10,fsgrgbsehbrtnrth,,433,,Desktop,23,,,,,,,,,,,
4360,gthntyn,11,ftrhrtshfhrtbbdra,,121,,Desktop,55,,,,,,,,,,,
4361,ymugt,12,ebshraergdgegevvntrnrt,,455,,Desktop,55,,,,,,,,,,,
4362,rthfg,13,rvaergrahrtbynmytss,,52134,,Desktop,34,,,,,,,,,,,
4363,drb,14,rbaregaergaeghbnaerhbtrn,,233,,Desktop,13,,,,,,,,,,,
